dbname,Family,code,in_english,name_language,name
ruwikiversity,wikiversity,ru,Russian,русский,Викиверситет
ruwikivoyage,wikivoyage,ru,Russian,русский,Wikivoyage
ruwiktionary,wiktionary,ru,Russian,русский,Викисловарь
rwwiki,wikipedia,rw,Kinyarwanda,mdash,Wikipedia
rwwiktionary,wiktionary,rw,Kinyarwanda,mdash,Wiktionary
sahwiki,wikipedia,sah,Yakut,mdash,Бикипиэдьийэ
sahwikiquote,wikiquote,sah,Yakut,mdash,Биики_Домох
sahwikisource,wikisource,sah,Yakut,mdash,Бикитиэкэ
satwiki,wikipedia,sat,Santali,mdash,ᱣᱤᱠᱤᱯᱤᱰᱤᱭᱟ
sawiki,wikipedia,sa,Sanskrit,mdash,विकिपीडिया
sawikibooks,wikibooks,sa,Sanskrit,mdash,विकिपुस्तकानि
sawikiquote,wikiquote,sa,Sanskrit,mdash,विकिसूक्तिः
sawikisource,wikisource,sa,Sanskrit,mdash,विकिस्रोतः
sawiktionary,wiktionary,sa,Sanskrit,mdash,विकिशब्दकोशः
scnwiki,wikipedia,scn,Sicilian,mdash,Wikipedia
scnwiktionary,wiktionary,scn,Sicilian,mdash,Wikizziunariu
scowiki,wikipedia,sco,Scots,mdash,Wikipedia
scwiki,wikipedia,sc,Sardinian,mdash,Wikipedia
sdwiki,wikipedia,sd,Sindhi,mdash,وڪيپيڊيا
sdwiktionary,wiktionary,sd,Sindhi,mdash,Wiktionary
sewiki,wikipedia,se,Northern Sami,mdash,Wikipedia
sewikimedia,wikimedia,sv,Swedish,svenska,Wikimedia
sgwiki,wikipedia,sg,Sango,mdash,Wikipedia
sgwiktionary,wiktionary,sg,Sango,mdash,Wiktionary
shnwiki,wikipedia,shn,Shan,mdash,Wikipedia
shwiki,wikipedia,sh,mdash,mdash,Wikipedia
shwiktionary,wiktionary,sh,mdash,mdash,Wiktionary
simplewiki,wikipedia,en,English,mdash,Wikipedia
simplewiktionary,wiktionary,en,English,mdash,Wiktionary
siwiki,wikipedia,si,Sinhalese,mdash,විකිපීඩියා, නිදහස් විශ්වකෝෂය
siwikibooks,wikibooks,si,Sinhalese,mdash,Wikibooks
siwiktionary,wiktionary,si,Sinhalese,mdash,Wiktionary
skwiki,wikipedia,sk,Slovak,Slovenčina,Wikipédia
skwikibooks,wikibooks,sk,Slovak,Slovenčina,Wikiknihy
skwikiquote,wikiquote,sk,Slovak,Slovenčina,Wikicitáty
skwikisource,wikisource,sk,Slovak,Slovenčina,Wikizdroje
skwiktionary,wiktionary,sk,Slovak,Slovenčina,Wikislovník
slwiki,wikipedia,sl,Slovenian,Slovenščina,Wikipedija
slwikibooks,wikibooks,sl,Slovenian,Slovenščina,Wikiknjige
slwikiquote,wikiquote,sl,Slovenian,Slovenščina,Wikinavedek
slwikisource,wikisource,sl,Slovenian,Slovenščina,Wikivir
slwikiversity,wikiversity,sl,Slovenian,Slovenščina,Wikiverza
slwiktionary,wiktionary,sl,Slovenian,Slovenščina,Wikislovar
smwiki,wikipedia,sm,Samoan,mdash,Wikipedia
smwiktionary,wiktionary,sm,Samoan,mdash,Wiktionary
snwiki,wikipedia,sn,Shona,mdash,Wikipedia
sourceswiki,special,en,English,mdash,Wikisource
sowiki,wikipedia,so,Somali,mdash,Wikipedia
sowiktionary,wiktionary,so,Somali,mdash,Wiktionary
specieswiki,special,en,English,mdash,Wikispecies
sqwiki,wikipedia,sq,Albanian,shqip,Wikipedia
sqwikibooks,wikibooks,sq,Albanian,shqip,Wikibooks
sqwikinews,wikinews,sq,Albanian,shqip,Wikilajme
sqwikiquote,wikiquote,sq,Albanian,shqip,Wikiquote
sqwiktionary,wiktionary,sq,Albanian,shqip,Wiktionary
srnwiki,wikipedia,srn,Sranan Tongo,mdash,Wikipedia
srwiki,wikipedia,sr,Serbian,Српски,Википедија
srwikibooks,wikibooks,sr,Serbian,Српски,Викикњиге
srwikinews,wikinews,sr,Serbian,Српски,Викивести
srwikiquote,wikiquote,sr,Serbian,Српски,Викицитат
srwikisource,wikisource,sr,Serbian,Српски,Викизворник
srwiktionary,wiktionary,sr,Serbian,Српски,Викиречник
sswiki,wikipedia,ss,Swati,mdash,Wikipedia
sswiktionary,wiktionary,ss,Swati,mdash,Wiktionary
stqwiki,wikipedia,stq,mdash,mdash,Wikipedia
stwiki,wikipedia,st,Southern Sotho,mdash,Wikipedia
stwiktionary,wiktionary,st,Southern Sotho,mdash,Wiktionary
suwiki,wikipedia,su,Sundanese,mdash,Wikipedia
suwikiquote,wikiquote,su,Sundanese,mdash,Wikiquote
suwiktionary,wiktionary,su,Sundanese,mdash,Wiktionary
svwiki,wikipedia,sv,Swedish,svenska,Wikipedia
svwikibooks,wikibooks,sv,Swedish,svenska,Wikibooks
svwikinews,wikinews,sv,Swedish,svenska,Wikinews
svwikiquote,wikiquote,sv,Swedish,svenska,Wikiquote
svwikisource,wikisource,sv,Swedish,svenska,Wikisource
svwikiversity,wikiversity,sv,Swedish,svenska,Wikiversity
svwikivoyage,wikivoyage,sv,Swedish,svenska,Wikivoyage
svwiktionary,wiktionary,sv,Swedish,svenska,Wiktionary
swwiki,wikipedia,sw,Swahili,mdash,Wikipedia
swwiktionary,wiktionary,sw,Swahili,mdash,Wiktionary
szlwiki,wikipedia,szl,mdash,mdash,Wikipedia
tawiki,wikipedia,ta,Tamil,mdash,விக்கிப்பீடியா
tawikibooks,wikibooks,ta,Tamil,mdash,விக்கிநூல்கள்
tawikinews,wikinews,ta,Tamil,mdash,விக்கிசெய்தி
tawikiquote,wikiquote,ta,Tamil,mdash,விக்கிமேற்கோள்
tawikisource,wikisource,ta,Tamil,mdash,விக்கிமூலம்
tawiktionary,wiktionary,ta,Tamil,mdash,விக்சனரி
tcywiki,wikipedia,tcy,mdash,mdash,ವಿಕಿಪೀಡಿಯ
test2wiki,wikipedia,en,English,mdash,Wikipedia
testwiki,wikipedia,en,English,mdash,Wikipedia
testwikidatawiki,wikidata,en,English,mdash,Wikidata
tetwiki,wikipedia,tet,Tetum,mdash,Wikipedia
tewiki,wikipedia,te,Telugu,mdash,వికీపీడియా
tewikibooks,wikibooks,te,Telugu,mdash,Wikibooks
tewikiquote,wikiquote,te,Telugu,mdash,వికీవ్యాఖ్య
tewikisource,wikisource,te,Telugu,mdash,వికీసోర్స్
tewiktionary,wiktionary,te,Telugu,mdash,విక్షనరీ
tgwiki,wikipedia,tg,Tajik,mdash,Википедиа
tgwikibooks,wikibooks,tg,Tajik,mdash,Wikibooks
tgwiktionary,wiktionary,tg,Tajik,mdash,Wiktionary
thwiki,wikipedia,th,Thai,ไทย,วิกิพีเดีย
thwikibooks,wikibooks,th,Thai,ไทย,วิกิตำรา
thwikiquote,wikiquote,th,Thai,ไทย,วิกิคำคม
thwikisource,wikisource,th,Thai,ไทย,วิกิซอร์ซ
thwiktionary,wiktionary,th,Thai,ไทย,Wiktionary
tiwiki,wikipedia,ti,Tigrinya,mdash,Wikipedia
tiwiktionary,wiktionary,ti,Tigrinya,mdash,Wiktionary
tkwiki,wikipedia,tk,Turkmen,mdash,Wikipediýa
tkwiktionary,wiktionary,tk,Turkmen,mdash,Wikisözlük
tlwiki,wikipedia,tl,Tagalog,mdash,Wikipedia
tlwikibooks,wikibooks,tl,Tagalog,mdash,Wikibooks
tlwiktionary,wiktionary,tl,Tagalog,mdash,Wiktionary
tnwiki,wikipedia,tn,Tswana,mdash,Wikipedia
tnwiktionary,wiktionary,tn,Tswana,mdash,Wiktionary
towiki,wikipedia,to,Tonga,mdash,Wikipedia
tpiwiki,wikipedia,tpi,Tok Pisin,mdash,Wikipedia
tpiwiktionary,wiktionary,tpi,Tok Pisin,mdash,Wiktionary
trwiki,wikipedia,tr,Turkish,Türkçe,Vikipedi
trwikibooks,wikibooks,tr,Turkish,Türkçe,Vikikitap
trwikimedia,wikimedia,tr,Turkish,Türkçe,Wikimedia Türkiye
trwikinews,wikinews,tr,Turkish,Türkçe,Vikihaber
trwikiquote,wikiquote,tr,Turkish,Türkçe,Vikisöz
trwikisource,wikisource,tr,Turkish,Türkçe,Vikikaynak
trwiktionary,wiktionary,tr,Turkish,Türkçe,Vikisözlük
tswiki,wikipedia,ts,Tsonga,mdash,Wikipedia
tswiktionary,wiktionary,ts,Tsonga,mdash,Wiktionary
ttwiki,wikipedia,tt,Tatar,mdash,Wikipedia
ttwikibooks,wikibooks,tt,Tatar,mdash,Wikibooks
ttwiktionary,wiktionary,tt,Tatar,mdash,Wiktionary
tumwiki,wikipedia,tum,Tumbuka,mdash,Wikipedia
twwiki,wikipedia,tw,Twi,mdash,Wikipedia
tyvwiki,wikipedia,tyv,Tuvinian,mdash,Википедия
tywiki,wikipedia,ty,Tahitian,mdash,Wikipedia
uawikimedia,wikimedia,uk,Ukrainian,українська,Вікімедіа Україна
udmwiki,wikipedia,udm,Udmurt,mdash,Википедия
ugwiki,wikipedia,ug,Uighur,mdash,Wikipedia
ugwiktionary,wiktionary,ug,Uighur,mdash,Wiktionary
ukwiki,wikipedia,uk,Ukrainian,українська,Вікіпедія
ukwikibooks,wikibooks,uk,Ukrainian,українська,Вікіпідручник
ukwikinews,wikinews,uk,Ukrainian,українська,Вікіновини
ukwikiquote,wikiquote,uk,Ukrainian,українська,Вікіцитати
ukwikisource,wikisource,uk,Ukrainian,українська,Вікіджерела
ukwikivoyage,wikivoyage,uk,Ukrainian,українська,Вікімандри
ukwiktionary,wiktionary,uk,Ukrainian,українська,Вікісловник
urwiki,wikipedia,ur,Urdu,mdash,ویکیپیڈیا
urwikibooks,wikibooks,ur,Urdu,mdash,وکی کتب
urwikiquote,wikiquote,ur,Urdu,mdash,وکی اقتباسات
urwiktionary,wiktionary,ur,Urdu,mdash,وکی لغت
uzwiki,wikipedia,uz,Uzbek,mdash,Vikipediya
uzwikiquote,wikiquote,uz,Uzbek,mdash,Vikiiqtibos
uzwiktionary,wiktionary,uz,Uzbek,mdash,Vikilug‘at
vecwiki,wikipedia,vec,mdash,mdash,Wikipedia
vecwikisource,wikisource,vec,mdash,mdash,Wikisource
vecwiktionary,wiktionary,vec,mdash,mdash,Wikisionario
vepwiki,wikipedia,vep,mdash,mdash,Vikipedii
vewiki,wikipedia,ve,Venda,mdash,Wikipedia
viwiki,wikipedia,vi,Vietnamese,Tiếng Việt,Wikipedia
viwikibooks,wikibooks,vi,Vietnamese,Tiếng Việt,Wikibooks
viwikiquote,wikiquote,vi,Vietnamese,Tiếng Việt,Wikiquote
viwikisource,wikisource,vi,Vietnamese,Tiếng Việt,Wikisource
viwikivoyage,wikivoyage,vi,Vietnamese,Tiếng Việt,Wikivoyage
viwiktionary,wiktionary,vi,Vietnamese,Tiếng Việt,Wiktionary
vlswiki,wikipedia,vls,mdash,mdash,Wikipedia
votewiki,special,en,English,mdash,Wikimedia Vote Wiki
vowiki,wikipedia,vo,Volapük,mdash,Vükiped
vowiktionary,wiktionary,vo,Volapük,mdash,Vükivödabuk
warwiki,wikipedia,war,Waray,mdash,Wikipedia
wawiki,wikipedia,wa,Walloon,mdash,Wikipedia
wawiktionary,wiktionary,wa,Walloon,mdash,Wiccionaire
wbwikimedia,wikimedia,bn,Bengali,mdash,West Bengal Wikimedians
wikidatawiki,wikidata,en,English,mdash,Wikidata
wikimania2018wiki,wikimania,en,English,mdash,Wikimania
wikimaniawiki,wikimania,en,English,mdash,Wikimania
wowiki,wikipedia,wo,Wolof,mdash,Wikipedia
wowikiquote,wikiquote,wo,Wolof,mdash,Wikiquote
wowiktionary,wiktionary,wo,Wolof,mdash,Wiktionary
wuuwiki,wikipedia,wuu,mdash,mdash,维基百科
xalwiki,wikipedia,xal,Kalmyk,mdash,Wikipedia
xhwiki,wikipedia,xh,Xhosa,mdash,Wikipedia
xmfwiki,wikipedia,xmf,mdash,mdash,ვიკიპედია
yiwiki,wikipedia,yi,Yiddish,mdash,װיקיפּעדיע
yiwikisource,wikisource,yi,Yiddish,mdash,װיקיביבליאָטעק
yiwiktionary,wiktionary,yi,Yiddish,mdash,װיקיװערטערבוך
yowiki,wikipedia,yo,Yoruba,mdash,Wikipedia
yuewiktionary,wiktionary,yue,mdash,mdash,維基辭典
zawiki,wikipedia,za,Zhuang,mdash,Wikipedia
zeawiki,wikipedia,zea,mdash,mdash,Wikipedia
zhwiki,wikipedia,zh,Chinese,中文,Wikipedia
zhwikibooks,wikibooks,zh,Chinese,中文,Wikibooks
zhwikinews,wikinews,zh,Chinese,中文,Wikinews
zhwikiquote,wikiquote,zh,Chinese,中文,Wikiquote
zhwikisource,wikisource,zh,Chinese,中文,Wikisource
zhwikiversity,wikiversity,zh,Chinese,中文,維基學院
zhwikivoyage,wikivoyage,zh,Chinese,中文,维基导游
zhwiktionary,wiktionary,zh,Chinese,中文,Wiktionary
zh_classicalwiki,wikipedia,lzh,mdash,mdash,維基大典
zh_min_nanwiki,wikipedia,nan,mdash,mdash,Wikipedia
zh_min_nanwikisource,wikisource,zh-min-nan,mdash,mdash,Wiki Tô·-su-kóan
zh_min_nanwiktionary,wiktionary,nan,mdash,mdash,Wiktionary
zh_yuewiki,wikipedia,yue,mdash,mdash,維基百科
zuwiki,wikipedia,zu,Zulu,mdash,Wikipedia
zuwiktionary,wiktionary,zu,Zulu,mdash,Wiktionary
